Region,State name full,State code,FIPS,BW_unemployment,CensusYear,BW_poverty,bwrato_homeownership,bwedu,Dissimilarity,isolation,Interaction
West,Arizona,AZ,4,1.99445,2000,1.93312,0.65154,0.71065,0.41441,0.16738,0.83262
South,Arkansas,AR,5,2.56751,2000,2.7863,0.68609,0.57353,0.63473,0.53607,0.46393
West,California,CA,6,2.12976,2000,2.14222,0.64685,0.57074,0.54342,0.36325,0.63675
West,Colorado,CO,8,2.10273,2000,2.14478,0.6566,0.5717,0.5805,0.22542,0.77458
NorthEast,Connecticut,CT,9,2.6147,2000,3.60478,0.53085,0.40698,0.61675,0.44664,0.55336
South,Delaware,DE,10,2.47523,2000,2.96317,0.65342,0.53995,0.44455,0.472,0.528
South,Florida,FL,12,2.22918,2000,2.7293,0.70363,0.51735,0.55723,0.50418,0.49582
South,Georgia,GA,13,2.69197,2000,2.80144,0.68929,0.56457,0.56057,0.6187,0.3813
West,Hawaii,HI,15,1.69855,2000,0.93129,0.32015,0.56369,0.45636,0.12645,0.87355
West,Idaho,ID,16,1.11771,2000,1.66553,0.6257,1.02797,0.44699,0.02998,0.97002
MidWest,Illinois,IL,17,3.47468,2000,3.74545,0.59625,0.52615,0.69977,0.64735,0.35265
MidWest,Indiana,IN,18,2.86581,2000,2.96427,0.61155,0.60693,0.66359,0.47917,0.52083
MidWest,Iowa,IA,19,3.70224,2000,3.84938,0.51585,0.68717,0.54486,0.17498,0.82502
MidWest,Kansas,KS,20,3.06627,2000,2.79692,0.60901,0.54253,0.52401,0.25754,0.74246
South,Kentucky,KY,21,2.27118,2000,1.92265,0.5726,0.61279,0.57545,0.3527,0.6473
South,Louisiana,LA,22,2.91409,2000,3.29633,0.67792,0.4976,0.54207,0.64358,0.35642
NorthEast,Maine,ME,23,2.95958,2000,2.63656,0.45182,0.90207,0.54563,0.09983,0.90017
South,Maryland,MD,24,2.60482,2000,2.70604,0.69762,0.58193,0.63849,0.68766,0.31234
NorthEast,Massachusetts,MA,25,2.45426,2000,3.01145,0.5061,0.56733,0.56779,0.37052,0.62948
MidWest,Michigan,MI,26,2.75536,2000,3.34665,0.65221,0.56056,0.69962,0.60673,0.39327
MidWest,Minnesota,MN,27,3.29761,2000,4.37648,0.45109,0.656,0.55509,0.28927,0.71073
South,Mississippi,MS,28,2.91877,2000,3.15621,0.77353,0.50372,0.49416,0.65294,0.34706
MidWest,Missouri,MO,29,2.77384,2000,2.65357,0.65531,0.58542,0.67823,0.55895,0.44105
West,Montana,MT,30,2.44929,2000,2.12238,0.49698,1.18146,0.37003,0.01217,0.98783
MidWest,Nebraska,NE,31,3.38149,2000,3.35695,0.56486,0.57548,0.58244,0.29897,0.70103
West,Nevada,NV,32,2.02919,2000,2.36585,0.63952,0.61518,0.45672,0.32947,0.67053
NorthEast,New Hampshire,NH,33,2.12435,2000,3.17846,0.54045,0.9894,0.46096,0.05947,0.94053
NorthEast,New Jersey,NJ,34,2.52055,2000,3.27911,0.58516,0.51542,0.63767,0.57035,0.42965
West,New Mexico,NM,35,1.90177,2000,1.63899,0.65824,0.66385,0.33459,0.07137,0.92863
NorthEast,New York,NY,36,2.52332,2000,2.54857,0.50244,0.51602,0.72102,0.65208,0.34792
South,North Carolina,NC,37,2.64798,2000,2.70913,0.71136,0.52457,0.51638,0.48286,0.51714
MidWest,North Dakota,ND,38,1.35999,2000,2.02708,0.27534,0.81492,0.45988,0.08446,0.91554
MidWest,Ohio,OH,39,2.66765,2000,3.25716,0.59428,0.54308,0.66921,0.51931,0.48069
South,Oklahoma,OK,40,2.55846,2000,2.48794,0.60913,0.63136,0.52488,0.33302,0.66698
West,Oregon,OR,41,2.1131,2000,2.36823,0.59967,0.66314,0.47206,0.0887,0.9113
NorthEast,Pennsylvania,PA,42,2.82336,2000,3.17281,0.66864,0.51384,0.68015,0.55621,0.44379
NorthEast,Rhode Island,RI,44,2.54682,2000,3.32751,0.47041,0.61361,0.5345,0.22661,0.77339
South,South Carolina,SC,45,2.7371,2000,3.08064,0.80069,0.40684,0.45129,0.47559,0.52441
MidWest,South Dakota,SD,46,2.02726,2000,2.34442,0.45695,0.85011,0.54297,0.10212,0.89788
South,Tennessee,TN,47,2.37549,2000,2.33704,0.69741,0.62948,0.65479,0.57396,0.42604
South,Texas,TX,48,2.09011,2000,1.87713,0.68632,0.59383,0.52489,0.436,0.564
West,Utah,UT,49,2.41236,2000,2.64186,0.55461,0.66658,0.40713,0.04375,0.95625
NorthEast,Vermont,VT,50,2.18772,2000,2.24073,0.5055,1.04559,0.38519,0.03729,0.96271
South,Virginia,VA,51,2.5897,2000,2.7982,0.69526,0.46818,0.49234,0.45846,0.54154
West,Washington,WA,53,1.81044,2000,2.18121,0.57871,0.66622,0.51243,0.18115,0.81885
South,West Virginia,WV,54,1.96735,2000,1.87362,0.65931,0.78213,0.53516,0.14514,0.85486
MidWest,Wisconsin,WI,55,3.94733,2000,4.87107,0.44317,0.45097,0.71014,0.55263,0.44737
West,Wyoming,WY,56,2.94152,2000,1.65855,0.60286,0.74613,0.36605,0.03069,0.96931
South,Alabama,AL,1,2.19855,2010,2.49909,0.71074,0.60273,0.56753,0.56665,0.43335
West,Alaska,AK,2,1.41142,2010,1.65816,0.56436,0.59687,0.47937,0.13568,0.86432
West,Arizona,AZ,4,1.70158,2010,1.6657,0.56609,0.81854,0.39985,0.11355,0.88645
South,Arkansas,AR,5,2.35163,2010,2.36943,0.65029,0.60649,0.58995,0.48675,0.51325
West,California,CA,6,1.69076,2010,1.71041,0.6248,0.68094,0.52899,0.31465,0.68535
West,Colorado,CO,8,1.98773,2010,2.17579,0.61984,0.56411,0.5566,0.21199,0.78801
NorthEast,Connecticut,CT,9,2.10619,2010,2.931,0.54209,0.46563,0.60438,0.40009,0.59991
South,Delaware,DE,10,1.84305,2010,2.30296,0.65894,0.6367,0.43153,0.41182,0.58818
South,Florida,FL,12,1.71992,2010,2.14867,0.6804,0.59239,0.54117,0.46124,0.53876
South,Georgia,GA,13,2.05494,2010,2.19159,0.68153,0.64448,0.53224,0.58332,0.41668
West,Hawaii,HI,15,1.36958,2010,0.94882,0.55169,0.63949,0.46178,0.16884,0.83116
West,Idaho,ID,16,2.51075,2010,2.05961,0.46558,0.95579,0.38544,0.02239,0.97761
MidWest,Illinois,IL,17,2.507,2010,3.14047,0.55834,0.57652,0.68621,0.62574,0.37426
MidWest,Indiana,IN,18,2.22003,2010,2.49739,0.56646,0.63844,0.64519,0.46734,0.53266
MidWest,Iowa,IA,19,2.97389,2010,3.44753,0.42561,0.68736,0.5113,0.16794,0.83206
MidWest,Kansas,KS,20,3.00991,2010,2.43981,0.57156,0.59741,0.54646,0.30006,0.69994
South,Kentucky,KY,21,1.88447,2010,1.91853,0.57494,0.67936,0.53642,0.35174,0.64826
South,Louisiana,LA,22,2.52648,2010,2.90399,0.67191,0.51948,0.54157,0.58635,0.41365
NorthEast,Maine,ME,23,2.48482,2010,3.60329,0.38129,0.79968,0.48785,0.06486,0.93514
South,Maryland,MD,24,2.08353,2010,2.15621,0.6939,0.63281,0.62266,0.64656,0.35344
NorthEast,Massachusetts,MA,25,2.0811,2010,2.59764,0.51125,0.56503,0.58567,0.3815,0.6185
MidWest,Michigan,MI,26,2.18207,2010,2.76998,0.61196,0.58517,0.70532,0.63741,0.36259
MidWest,Minnesota,MN,27,2.98482,2010,4.21469,0.34416,0.60618,0.54366,0.25908,0.74092
South,Mississippi,MS,28,2.50081,2010,2.83258,0.73885,0.53881,0.4806,0.57511,0.42489
MidWest,Missouri,MO,29,2.56872,2010,2.40697,0.59517,0.59324,0.67736,0.56141,0.43859
West,Montana,MT,30,2.09701,2010,2.31661,0.32113,0.7818,0.42767,0.03429,0.96571
MidWest,Nebraska,NE,31,3.41343,2010,3.25547,0.52404,0.57163,0.59349,0.34775,0.65225
West,Nevada,NV,32,1.60584,2010,1.7888,0.57354,0.72381,0.3919,0.21378,0.78622
NorthEast,New Hampshire,NH,33,1.608,2010,3.25534,0.55287,0.88251,0.45065,0.04438,0.95562
NorthEast,New Jersey,NJ,34,1.89441,2010,2.72072,0.5656,0.57975,0.61646,0.52675,0.47325
West,New Mexico,NM,35,1.38492,2010,1.47497,0.63817,0.8639,0.39351,0.07705,0.92295
NorthEast,New York,NY,36,1.91838,2010,2.13247,0.49791,0.57466,0.72166,0.64457,0.35543
South,North Carolina,NC,37,1.95903,2010,2.28268,0.66759,0.57759,0.49143,0.45609,0.54391
MidWest,North Dakota,ND,38,3.88131,2010,2.87365,0.20763,0.89259,0.4449,0.04543,0.95457
MidWest,Ohio,OH,39,2.30619,2010,2.76907,0.54479,0.588,0.66079,0.52605,0.47395
South,Oklahoma,OK,40,2.21174,2010,2.16338,0.59194,0.69368,0.52064,0.33715,0.66285
West,Oregon,OR,41,1.76584,2010,2.45651,0.51907,0.76614,0.51389,0.11346,0.88654
NorthEast,Pennsylvania,PA,42,2.38023,2010,2.92799,0.6303,0.54665,0.68651,0.56673,0.43327
NorthEast,Rhode Island,RI,44,1.64779,2010,2.73043,0.52605,0.5822,0.54914,0.24906,0.75094
South,South Carolina,SC,45,2.08649,2010,2.54284,0.71236,0.4609,0.46408,0.48588,0.51412
MidWest,South Dakota,SD,46,4.99939,2010,2.79486,0.28683,0.68723,0.52073,0.08571,0.91429
